Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Home_Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Customer_Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Recurring_Monthly_Revenue
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,None,No,0,No,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0,0,0,1993.2,Stayed,NULL,NULL,58.62352941
0021-IKXGC,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0,0,7.77,79.87,Joined,NULL,NULL,79.87
0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,None,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,72.70333333
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,None,No,0,No,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0,0,0,25.1,Churned,Competitor,Competitor made better offer,25.1
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,None,Yes,31.43,Yes,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.2,1306.3,0,0,1571.5,2877.8,Stayed,NULL,NULL,57.556
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,None,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0,0,566.28,1781.88,Churned,Other,Don't know,137.0676923
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,0,802.93,2652.88,Stayed,NULL,NULL,115.3426087
0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,None,Yes,3.12,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0,0,9.36,66.56,Joined,NULL,NULL,22.18666667
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0,0,49.72,126.07,Churned,Price,Long distance charges,31.5175
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,None,No,0,No,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0,0,0,30.5,Churned,Attitude,Attitude of service provider,30.5
0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,None,Yes,19.7,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,1090.6,0,0,1063.8,2154.4,Stayed,NULL,NULL,39.8962963
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,NULL,NULL,55.03076923
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,None,Yes,38.39,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.7,1396.9,0,0,2648.91,4045.81,Stayed,NULL,NULL,58.63492754
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45,900.9,0,0,2429.42,3330.32,Stayed,NULL,NULL,67.96571429
0052-YNYOT,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,None,Yes,23.12,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,NULL,NULL,42.71507463
0056-EPFBG,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,None,No,0,No,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0,0,0,825.4,Stayed,NULL,NULL,41.27
0057-QBUQH,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,None,Yes,30.64,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0,0,1317.52,2387.67,Stayed,NULL,NULL,55.5272093
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,None,Yes,19.28,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,0,0,231.36,455.86,Stayed,NULL,NULL,37.98833333
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,0,682.02,2611.02,Stayed,NULL,NULL,96.70444444
0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,89.54
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,None,Yes,23.69,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,NULL,NULL,47.1372
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,None,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611,44.9,0,161.25,1727.35,Stayed,NULL,NULL,69.094
0076-LVEPS,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,None,No,0,No,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.45,12.26,0,0,1230.19,Stayed,NULL,NULL,42.42034483
0080-EMYVY,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,None,Yes,24.04,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0,0,336.56,1064.41,Stayed,NULL,NULL,76.02928571
0082-LDZUE,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0,0,42.95,87.25,Joined,NULL,NULL,87.25
0082-OQIQY,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,None,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0,20,59.45,2687.05,Stayed,NULL,NULL,92.65689655
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,124.3445455
0096-BXERS,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0,0,255.96,570.51,Stayed,NULL,NULL,95.085
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,None,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0,0,79.2,1967.65,Stayed,NULL,NULL,65.58833333
0098-BOWSO,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,None,Yes,20.66,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0,0,557.82,1087.62,Stayed,NULL,NULL,40.28222222
0104-PPXDV,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,None,Yes,18.37,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,NULL,NULL,67.8237931
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,None,Yes,25.71,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0,0,411.36,1623.46,Stayed,NULL,NULL,101.46625
0107-WESLM,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,31.77,51.62,Churned,Attitude,Attitude of support person,51.62
0107-YHINA,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,None,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,140.46
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0,0,779.36,2221.56,Stayed,NULL,NULL,138.8475
0114-IGABW,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,No,0,No,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0,0,0,4145.9,Stayed,NULL,NULL,58.39295775
0114-RSRRW,Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10,Offer D,Yes,49.6,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0,0,496,683.75,Stayed,NULL,NULL,68.375
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,None,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider,152.312381
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,None,No,0,No,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,0,1448.8,Churned,Competitor,Competitor offered more data,39.15675676
0118-JPNOY,Female,71,No,0,Le Grand,95333,37.249377,-120.249581,0,26,None,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0,0,877.24,3070.89,Stayed,NULL,NULL,118.1111538
0121-SNYRK,Male,45,No,0,Redway,95560,40.142256,-123.852927,0,50,Offer B,No,0,No,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0,0,0,1748.9,Stayed,NULL,NULL,34.978
0122-OAHPZ,Female,29,No,0,San Diego,92122,32.85723,-117.209774,0,7,None,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer,99.79428571
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,37.818589,-120.256995,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,688.8,2242.75,Churned,Attitude,Attitude of service provider,149.5166667
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,34.364153,-118.615583,0,26,None,No,0,No,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147,0,0,0,1147,Stayed,NULL,NULL,44.11538462
0129-QMPDR,Male,64,Yes,0,La Puente,91746,34.038983,-117.991372,1,44,None,Yes,27.4,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.5,865.05,0,0,1205.6,2070.65,Stayed,NULL,NULL,47.06022727
0133-BMFZO,Female,40,No,0,Alhambra,91803,34.074736,-118.145959,0,2,None,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0,0,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds,127.635
0134-XWXCE,Female,76,No,0,Santa Monica,90403,34.031529,-118.491156,0,44,None,Yes,7.72,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82,Stayed,NULL,NULL,81.58681818
0135-NMXAP,Female,57,No,0,Lodi,95240,38.123544,-121.159078,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,172.56,1224.96,Churned,Attitude,Attitude of support person,102.08
0137-OCGAB,Female,25,No,0,Fairfield,94533,38.287136,-122.02711,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0,0,1.23,81.43,Churned,Price,Lack of affordable download/upload speed,81.43
0137-UDEUO,Female,24,No,0,Stockton,95204,37.974498,-121.319568,0,3,Offer E,Yes,25.75,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,63.75,0,0,77.25,141,Churned,Price,Long distance charges,47
0139-IVFJG,Female,19,Yes,0,Temecula,92592,33.507255,-117.029473,10,2,None,Yes,4.65,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,0,0,9.3,199.8,Joined,NULL,NULL,99.9
0141-YEAYS,Female,77,No,0,Fallbrook,92028,33.362575,-117.299644,0,27,None,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0,0,80.19,2481.24,Stayed,NULL,NULL,91.89777778
0142-GVYSN,Male,57,No,0,Randsburg,93554,35.405722,-117.773354,0,26,Offer C,Yes,13.34,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0,0,346.84,858.09,Stayed,NULL,NULL,33.00346154
0148-DCDOS,Male,41,No,0,Planada,95365,37.329725,-120.306399,0,25,None,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0,0,872,3234.1,Churned,Competitor,Competitor had better devices,129.364
0151-ONTOV,Female,43,No,0,Moorpark,93021,34.312945,-118.858169,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0,0,39.81,110.71,Churned,Competitor,Competitor had better devices,110.71
0156-FVPTA,Male,48,Yes,0,Solvang,93463,34.624399,-120.137875,1,22,Offer D,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,599.28,1751.98,Churned,Attitude,Attitude of service provider,79.63545455
0164-XAIRP,Female,51,No,0,La Mirada,90638,33.902045,-118.008961,0,24,None,Yes,10.64,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19.55,470.2,0,0,255.36,725.56,Stayed,NULL,NULL,30.23166667
0168-XZKBB,Female,34,Yes,0,Boron,93516,34.95703,-117.73045,8,19,None,Yes,7.84,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,0,0,148.96,1713.36,Stayed,NULL,NULL,90.17684211
0174-QRVVY,Male,21,Yes,2,San Marcos,92078,33.119028,-117.166036,2,71,None,Yes,9.2,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.35,1847.55,0,0,653.2,2500.75,Stayed,NULL,NULL,35.22183099
0178-CIIKR,Female,60,No,0,Crows Landing,95313,37.435664,-121.049056,0,3,None,Yes,2.69,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.95,58,0,0,8.07,66.07,Joined,NULL,NULL,22.02333333
0187-QSXOE,Male,71,Yes,0,Fresno,93725,36.623632,-119.741322,8,7,None,Yes,41.97,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89,605.45,0,0,293.79,899.24,Stayed,NULL,NULL,128.4628571
0187-WZNAB,Female,56,Yes,2,Del Rey,93616,36.657462,-119.595293,6,27,Offer C,Yes,46.66,No,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,0,0,1259.82,3232.17,Stayed,NULL,NULL,119.71
0188-GWFLE,Male,33,No,0,Redwood City,94065,37.527497,-122.230941,0,2,None,Yes,1.81,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.05,33.7,0,0,3.62,37.32,Joined,NULL,NULL,18.66
0191-EQUUH,Female,32,No,3,Landers,92285,34.341737,-116.539416,0,25,Offer C,No,0,No,Yes,Cable,75,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,0,0,0,844.45,Stayed,NULL,NULL,33.778
0191-ZHSKZ,Male,80,No,0,Hawthorne,90250,33.914775,-118.348083,0,30,None,Yes,38.61,No,Yes,DSL,5,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,0,0,1158.3,3269.6,Stayed,NULL,NULL,108.9866667
0195-IESCP,Male,26,Yes,0,Armona,93202,36.315979,-119.710852,1,10,Offer D,Yes,2.02,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0,100,20.2,975.5,Churned,Competitor,Competitor offered more data,97.55
0196-JTUQI,Female,59,No,0,Clarksburg,95612,38.384648,-121.578701,0,9,None,Yes,9.27,Yes,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,0,0,83.43,717.28,Stayed,NULL,NULL,79.69777778
0196-VULGZ,Female,78,Yes,0,Irvine,92620,33.716136,-117.752574,1,6,None,Yes,28.71,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,0,0,172.26,647.16,Churned,Other,Deceased,107.86
0203-HHYIJ,Male,62,No,0,Atherton,94027,37.454924,-122.203168,0,25,Offer C,Yes,5.57,Yes,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.3,676.35,0,0,139.25,815.6,Churned,Price,Long distance charges,32.624
0206-OYVOC,Female,52,Yes,2,Huntington Beach,92649,33.721917,-118.043237,1,46,Offer B,Yes,24.33,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.25,864.2,0,0,1119.18,1983.38,Stayed,NULL,NULL,43.11695652
0207-MDKNV,Female,54,No,0,Daly City,94014,37.691561,-122.445202,0,15,None,Yes,22.39,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0,0,335.85,1918.6,Churned,Competitor,Competitor made better offer,127.9066667
0208-BPQEJ,Female,48,Yes,1,Middletown,95461,38.787446,-122.58675,0,12,Offer D,Yes,8.25,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.4,198.1,0,0,99,297.1,Stayed,NULL,NULL,24.75833333
0212-ISBBF,Female,51,No,0,Berkeley,94705,37.858898,-122.240512,0,22,None,No,0,No,Yes,Cable,22,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.35,1098.85,0,0,0,1098.85,Stayed,NULL,NULL,49.94772727
0214-JHPFW,Female,22,Yes,0,Lost Hills,93249,35.637715,-119.893068,9,70,None,No,0,No,Yes,Cable,85,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,57.8,4039.3,1.01,0,0,4038.29,Stayed,NULL,NULL,57.68985714
0215-BQKGS,Male,52,No,0,Garden Grove,92844,33.766476,-117.969795,0,30,Offer C,Yes,24.73,No,Yes,Fiber Optic,20,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,84.3,2438.6,0,130,741.9,3310.5,Stayed,NULL,NULL,110.35
0219-QAERP,Male,33,Yes,0,Oxnard,93033,34.156629,-119.117218,2,30,None,Yes,9.81,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.8,576.65,0,0,294.3,870.95,Stayed,NULL,NULL,29.03166667
0219-YTZUE,Male,26,Yes,0,San Diego,92122,32.85723,-117.209774,5,4,Offer E,Yes,28.77,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,371.9,0,0,115.08,486.98,Churned,Competitor,Competitor made better offer,121.745
0220-EBGCE,Male,58,No,0,Escondido,92027,33.141265,-116.967221,0,2,Offer E,Yes,14.14,No,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,167.3,0,0,28.28,195.58,Churned,Competitor,Competitor made better offer,97.79
0221-NAUXK,Male,22,No,1,Moreno Valley,92553,33.923149,-117.244933,0,10,None,Yes,7.86,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.95,219.5,0,0,78.6,298.1,Stayed,NULL,NULL,29.81
0221-WMXNQ,Male,66,No,0,Chino,91710,33.990646,-117.663025,0,4,Offer E,Yes,36.4,No,Yes,Fiber Optic,29,Yes,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,75.35,273.4,0,0,145.6,419,Stayed,NULL,NULL,104.75
0222-CNVPT,Male,69,No,0,Sacramento,95820,38.53508,-121.444144,0,52,Offer B,No,0,No,Yes,DSL,19,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,48.8,2555.05,0,0,0,2555.05,Stayed,NULL,NULL,49.13557692
