Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Home_Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Customer_Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Recurring_Monthly_Revenue,RunningRecurringMonthlyRevenue
1229-RCALF,Female,37,Yes,0,San Jose,95117,37.311088,-121.961786,1,64,None,Yes,46.44,Yes,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,115,7396.15,0,0,2972.16,10368.31,Stayed,NULL,NULL,162.0048438,2317.153239
3508-CFVZL,Female,55,No,0,El Monte,91731,34.079934,-118.046695,0,71,Offer A,Yes,49.52,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,111.3,7985.9,0,0,3515.92,11501.82,Stayed,NULL,NULL,161.9974648,2479.150704
3680-CTHUH,Male,22,No,0,Kneeland,95549,40.664483,-123.865325,0,60,None,Yes,44.24,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,116.6,7049.5,0,0,2654.4,9703.9,Stayed,NULL,NULL,161.7316667,2640.88237
7569-NMZYQ,Female,33,Yes,3,Middletown,95461,38.787446,-122.58675,1,72,None,Yes,41.14,Yes,Yes,Fiber Optic,53,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,118.75,8672.45,0,0,2962.08,11634.53,Stayed,NULL,NULL,161.5906944,2802.473065
8920-NAVAY,Male,66,No,0,Los Angeles,90045,33.954017,-118.402447,0,62,None,Yes,47.8,Yes,Yes,Fiber Optic,8,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.75,7053.35,0,0,2963.6,10016.95,Stayed,NULL,NULL,161.5637097,2964.036774
3963-RYFNS,Female,25,No,0,Venice,90291,33.991782,-118.479229,0,72,Offer A,Yes,48.52,Yes,Yes,Fiber Optic,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,116.45,8013.55,0,90,3493.44,11596.99,Stayed,NULL,NULL,161.0693056,3286.45608
9351-HXDMR,Male,37,Yes,0,Lytle Creek,92358,34.238162,-117.534306,6,72,Offer A,Yes,46.16,Yes,Yes,Fiber Optic,14,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.9,8240.85,0,0,3323.52,11564.37,Stayed,NULL,NULL,160.61625,3447.07233
0907-HQNTS,Female,74,Yes,0,Pittsburg,94565,38.006047,-121.916834,8,70,Offer A,Yes,46.2,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,113,7987.6,0,0,3234,11221.6,Stayed,NULL,NULL,160.3085714,3607.380901
6689-VRRTK,Female,71,No,0,Camarillo,93010,34.227846,-119.079903,0,44,None,Yes,49.75,Yes,Yes,Fiber Optic,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,109.8,4860.35,0,0,2189,7049.35,Stayed,NULL,NULL,160.2125,3767.593401
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,None,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0,0,1639.77,5285.27,Stayed,NULL,NULL,160.159697,3927.753098
5914-XRFQB,Male,58,Yes,0,Caspar,95420,39.361283,-123.784599,0,72,None,Yes,43.12,Yes,Yes,Fiber Optic,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.8,8424.9,0,0,3104.64,11529.54,Stayed,NULL,NULL,160.1325,4087.885598
6030-REHUX,Female,76,Yes,0,Fountain Valley,92708,33.712036,-117.950113,6,28,Offer C,Yes,45.67,Yes,Yes,Fiber Optic,8,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.85,3204.4,0,0,1278.76,4483.16,Stayed,NULL,NULL,160.1128571,4247.998456
5945-AZYHT,Male,53,Yes,0,Antioch,94509,37.980057,-121.801599,9,71,Offer A,Yes,49.32,Yes,Yes,Fiber Optic,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.6,7854.15,0,0,3501.72,11355.87,Stayed,NULL,NULL,159.941831,4407.940287
0619-OLYUR,Male,32,Yes,0,Garden Grove,92840,33.787165,-117.931889,1,72,None,Yes,47.83,Yes,Yes,Fiber Optic,27,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.9,8071.05,0,0,3443.76,11514.81,Stayed,NULL,NULL,159.9279167,4567.868203
8029-XYPWT,Male,72,Yes,0,Anaheim,92806,33.83796,-117.870494,1,71,Offer A,Yes,46.82,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,115.05,8016.6,0,0,3324.22,11340.82,Stayed,NULL,NULL,159.7298592,4727.598062
5734-EJKXG,Female,25,No,0,Goodyears Bar,95944,39.564113,-120.868836,0,61,Offer B,Yes,38.78,Yes,Yes,Fiber Optic,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,118.6,7365.7,0,0,2365.58,9731.28,Stayed,NULL,NULL,159.5291803,4887.127243
9079-YEXQJ,Female,56,No,0,Chino,91710,33.990646,-117.663025,0,54,None,Yes,46.74,Yes,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,111.1,6014.85,0,50,2523.96,8588.81,Churned,Dissatisfaction,Product dissatisfaction,159.052037,5046.17928
8869-LIHMK,Female,51,No,0,King City,93930,36.220761,-120.980777,0,64,None,Yes,44.31,Yes,Yes,Fiber Optic,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.1,7334.05,0,0,2835.84,10169.89,Stayed,NULL,NULL,158.9045313,5205.083811
6168-YBYNP,Male,19,No,0,Newhall,91321,34.370378,-118.504118,0,59,Offer B,Yes,48.12,Yes,Yes,Fiber Optic,51,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,111.35,6519.75,0,0,2839.08,9358.83,Stayed,NULL,NULL,158.6242373,5363.708048
9356-AXGMP,Male,59,Yes,0,Somerset,95684,38.606703,-120.586659,9,38,Offer C,Yes,42.08,Yes,Yes,Fiber Optic,15,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.7,4428.6,0,0,1599.04,6027.64,Stayed,NULL,NULL,158.6221053,5522.330154
7602-MVRMB,Female,62,Yes,1,Fish Camp,93623,37.483535,-119.679414,9,72,None,Yes,46.63,Yes,Yes,Fiber Optic,14,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.45,8058.85,0,0,3357.36,11416.21,Stayed,NULL,NULL,158.5584722,5680.888626
1741-WTPON,Male,42,Yes,3,Westport,95488,39.724433,-123.767578,8,56,Offer B,Yes,40.86,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,115.85,6567.9,0,0,2288.16,8856.06,Stayed,NULL,NULL,158.1439286,5839.032554
3384-CTMSF,Male,61,Yes,0,Lincoln,95648,38.922812,-121.312005,2,47,Offer B,Yes,48.69,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.1,5135.15,0,0,2288.43,7423.58,Stayed,NULL,NULL,157.9485106,5996.981065
5795-KTGUD,Female,61,Yes,0,Ione,95640,38.33788,-120.954202,2,68,Offer A,Yes,46.7,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.8,7553.6,0,0,3175.6,10729.2,Stayed,NULL,NULL,157.7823529,6154.763418
3424-NMNBO,Male,78,Yes,0,San Diego,92117,32.825086,-117.199424,1,58,None,Yes,49.38,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,108.85,6287.25,0,0,2864.04,9151.29,Churned,Competitor,Competitor made better offer,157.7808621,6312.54428
0536-ACXIP,Female,34,Yes,0,Lodi,95242,38.128087,-121.4078,9,72,None,Yes,44.2,Yes,Yes,Fiber Optic,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.55,8165.1,0,0,3182.4,11347.5,Stayed,NULL,NULL,157.6041667,6470.148447
3795-CAWEX,Male,21,Yes,2,Whitmore,96096,40.637105,-121.906949,5,70,Offer A,Yes,40.77,Yes,Yes,Fiber Optic,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.55,8152.3,0,0,2853.9,11006.2,Stayed,NULL,NULL,157.2314286,6627.379875
8591-TKMZH,Male,40,Yes,3,Claremont,91711,34.127621,-117.717863,1,59,Offer B,Yes,46.1,Yes,Yes,Fiber Optic,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.1,6555.2,0,0,2719.9,9275.1,Stayed,NULL,NULL,157.2050847,6784.58496
7030-FZTFM,Male,31,Yes,1,Gonzales,93926,36.52588,-121.396719,5,72,Offer A,Yes,45.32,Yes,Yes,Fiber Optic,11,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,110.9,7922.75,0,130,3263.04,11315.79,Stayed,NULL,NULL,157.16375,6941.74871
3761-FLYZI,Female,69,Yes,0,Los Angeles,90011,34.00709,-118.258681,4,65,None,Yes,48.53,Yes,Yes,Fiber Optic,9,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,108.8,7082.45,21.52,0,3154.45,10215.38,Stayed,NULL,NULL,157.1596923,7098.908402
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,0,0,2657.88,10840.73,Stayed,NULL,NULL,157.112029,7413.170431
8309-PPCED,Female,33,Yes,0,Nipomo,93444,35.050345,-120.489599,1,72,None,Yes,46.23,Yes,Yes,Fiber Optic,18,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.45,7982.5,0,0,3328.56,11311.06,Stayed,NULL,NULL,157.0980556,7570.268487
2673-CXQEU,Female,73,No,0,Gardena,90247,33.890853,-118.297967,0,56,None,Yes,47.13,Yes,Yes,Fiber Optic,29,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,110.5,6139.5,0,0,2639.28,8778.78,Stayed,NULL,NULL,156.7639286,7727.032415
4616-ULAOA,Female,33,Yes,2,Escondido,92029,33.079834,-117.134275,1,65,Offer B,Yes,45.21,Yes,Yes,Fiber Optic,19,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.8,7245.9,0,0,2938.65,10184.55,Stayed,NULL,NULL,156.6853846,7883.7178
2380-DAMQP,Female,63,Yes,0,La Palma,90623,33.850504,-118.039892,10,72,None,Yes,40.59,Yes,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,115.15,8349.7,0,0,2922.48,11272.18,Stayed,NULL,NULL,156.5580556,8040.275856
8213-TAZPM,Female,45,Yes,1,Lemon Grove,91945,32.733564,-117.033713,5,69,Offer A,Yes,46.45,Yes,Yes,Fiber Optic,26,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,108.75,7493.05,0,100,3205.05,10798.1,Stayed,NULL,NULL,156.4942029,8196.770058
2302-ANTDP,Female,76,Yes,0,Hat Creek,96040,40.789799,-121.474529,9,48,None,Yes,43.04,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,117.45,5438.9,0,0,2065.92,7504.82,Churned,Competitor,Competitor offered more data,156.3504167,8353.120475
1936-UAFEH,Female,43,No,0,Pioneer,95666,38.546999,-120.271114,0,68,None,Yes,48.82,Yes,Yes,Fiber Optic,17,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,110.25,7279.35,0,30,3319.76,10629.11,Stayed,NULL,NULL,156.3104412,8509.430916
2323-ARSVR,Male,51,Yes,0,Milpitas,95035,37.441931,-121.878502,8,67,None,Yes,46.89,No,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.05,7321.05,0,0,3141.63,10462.68,Stayed,NULL,NULL,156.159403,8665.590319
2587-EKXTS,Male,48,No,0,San Diego,92116,32.765299,-117.122565,0,44,Offer B,Yes,44.45,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,111.5,4915.15,0,0,1955.8,6870.95,Stayed,NULL,NULL,156.1579545,8821.748274
8480-PPONV,Male,56,Yes,3,Guerneville,95446,38.52576,-123.013347,3,62,None,Yes,40.66,Yes,Yes,Fiber Optic,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,115.55,7159.05,0,0,2520.92,9679.97,Stayed,NULL,NULL,156.1285484,8977.876822
3259-FDWOY,Male,60,Yes,0,Elk Grove,95758,38.35363,-121.44195,3,71,Offer A,Yes,47.34,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,106,7723.7,0,0,3361.14,11084.84,Churned,Competitor,Competitor offered higher download speeds,156.124507,9134.001329
9572-MTILT,Male,47,Yes,0,Fullerton,92833,33.877639,-117.961212,7,59,None,Yes,49.31,Yes,Yes,Fiber Optic,21,Yes,Yes,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,106.75,6252.9,0,40,2909.29,9202.19,Churned,Competitor,Competitor made better offer,155.969322,9289.970651
7055-JCGNI,Female,60,No,0,Moss Beach,94038,37.515556,-122.502311,0,70,Offer A,Yes,44.57,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.95,7795.95,0,0,3119.9,10915.85,Stayed,NULL,NULL,155.9407143,9445.911366
2000-MPKCA,Female,51,No,0,San Pedro,90732,33.744119,-118.31448,0,58,Offer B,Yes,46.7,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.75,6332.75,0,0,2708.6,9041.35,Stayed,NULL,NULL,155.8853448,9601.79671
3882-IYOIJ,Female,41,Yes,1,Yorba Linda,92886,33.897253,-117.792202,1,60,Offer B,Yes,43.33,Yes,Yes,Fiber Optic,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,-9,6758.45,11.85,0,2599.8,9346.4,Stayed,NULL,NULL,155.7733333,9757.570044
3729-OWRVL,Male,80,No,0,Pixley,93256,35.957019,-119.330928,0,65,None,Yes,44.23,Yes,Yes,Fiber Optic,27,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.35,7246.15,0,0,2874.95,10121.1,Stayed,NULL,NULL,155.7092308,9913.279274
2403-BCASL,Male,66,Yes,0,Santa Ana,92705,33.766004,-117.786763,1,41,Offer B,Yes,45.04,Yes,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,111.95,4534.9,0,0,1846.64,6381.54,Churned,Other,Don't know,155.6473171,10068.92659
7245-JMTTQ,Female,19,No,0,Baldwin Park,91706,34.098275,-117.967399,0,51,Offer B,Yes,43.79,Yes,Yes,Fiber Optic,82,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,111.5,5703.25,0,0,2233.29,7936.54,Stayed,NULL,NULL,155.6184314,10224.54502
2834-JRTUA,Male,30,No,0,Martinez,94553,38.014457,-122.115432,0,71,Offer A,Yes,49.42,Yes,Yes,Fiber Optic,53,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.05,7532.15,0,0,3508.82,11040.97,Churned,Competitor,Competitor had better devices,155.5066197,10535.66414
2889-FPWRM,Male,31,Yes,0,Mckinleyville,95519,40.965011,-124.015255,1,72,None,Yes,34.87,Yes,Yes,Fiber Optic,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,117.8,8684.8,0,0,2510.64,11195.44,Churned,Competitor,Competitor offered higher download speeds,155.4922222,10691.15636
3174-RKMOW,Male,24,Yes,3,Glendale,91201,34.17051,-118.289463,8,35,None,Yes,48.3,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,109.95,3782.4,31.9,0,1690.5,5441,Stayed,NULL,NULL,155.4571429,10846.61351
1074-AMIOH,Female,38,Yes,2,San Francisco,94127,37.736535,-122.45732,1,53,None,Yes,43.39,No,Yes,Fiber Optic,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,108.25,5935.1,0,0,2299.67,8234.77,Stayed,NULL,NULL,155.3730189,11001.98653
3374-TTZTK,Male,26,Yes,0,Sun City,92585,33.739412,-117.173334,4,52,None,Yes,49.82,No,Yes,Fiber Optic,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,106.3,5487,0,0,2590.64,8077.64,Stayed,NULL,NULL,155.3392308,11157.32576
1725-IQNIY,Male,34,Yes,0,San Bernardino,92401,34.105935,-117.2914,1,54,None,Yes,42.09,No,Yes,Fiber Optic,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,109.75,6110.2,0,0,2272.86,8383.06,Churned,Competitor,Competitor had better devices,155.2418519,11312.56761
9924-JPRMC,Male,60,No,0,Lockeford,95237,38.166791,-121.14207,0,72,None,Yes,36.49,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,118.2,8547.15,0,0,2627.28,11174.43,Stayed,NULL,NULL,155.2004167,11467.76803
2469-DTSGX,Female,72,No,0,Somis,93066,34.297628,-119.014627,0,72,Offer A,Yes,44.81,Yes,Yes,Fiber Optic,14,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,111.65,7943.45,0,0,3226.32,11169.77,Stayed,NULL,NULL,155.1356944,11622.90372
9600-NAXZN,Male,39,No,0,San Diego,92121,32.898613,-117.202937,0,43,None,Yes,49.64,Yes,Yes,Fiber Optic,27,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.4,4528,0,0,2134.52,6662.52,Churned,Competitor,Competitor made better offer,154.9423256,11777.84605
5440-FLBQG,Male,69,Yes,0,Santa Barbara,93110,34.437945,-119.77191,1,69,Offer A,Yes,48.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,108.4,7318.2,0,0,3372.72,10690.92,Churned,Attitude,Attitude of service provider,154.9408696,11932.78692
9586-JGQKH,Female,61,Yes,0,Cathedral City,92234,33.829583,-116.474131,8,64,Offer B,Yes,49.26,Yes,Yes,Fiber Optic,18,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,105.4,6794.75,32.24,0,3152.64,9915.15,Stayed,NULL,NULL,154.9242188,12087.71113
6999-CHVCF,Male,40,No,0,Covina,91723,34.084747,-117.886844,0,68,None,Yes,49.42,Yes,Yes,Fiber Optic,7,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.1,7149.35,0,0,3360.56,10509.91,Stayed,NULL,NULL,154.5575,12551.71863
9090-SGQXL,Male,70,Yes,0,Ben Lomond,95005,37.078873,-122.090386,1,68,None,Yes,47.17,Yes,Yes,Fiber Optic,29,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.3,7299.65,0,0,3207.56,10507.21,Churned,Competitor,Competitor offered more data,154.5177941,12706.23643
7055-VKGDA,Male,31,No,0,Clarksburg,95612,38.384648,-121.578701,0,54,Offer B,Yes,49.98,No,Yes,Fiber Optic,26,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.4,5643.4,0,0,2698.92,8342.32,Churned,Dissatisfaction,Product dissatisfaction,154.4874074,12860.72384
0835-JKADZ,Female,29,No,0,San Francisco,94107,37.768881,-122.395521,0,71,None,Yes,41.92,Yes,Yes,Fiber Optic,53,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.25,7984.15,0,0,2976.32,10960.47,Stayed,NULL,NULL,154.3728169,13323.96165
5469-CTCWN,Male,52,Yes,0,Arbuckle,95912,38.982373,-122.047751,1,61,None,Yes,46.95,Yes,Yes,Cable,21,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106,6547.7,0,0,2863.95,9411.65,Churned,Competitor,Competitor offered higher download speeds,154.2893443,13478.251
2632-UCGVD,Male,71,Yes,0,Fairfield,94533,38.287136,-122.02711,6,66,None,Yes,49.85,Yes,Yes,Fiber Optic,14,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.05,6871.9,0,0,3290.1,10162,Churned,Price,Extra data charges,153.969697,13632.22069
8085-MSNLK,Female,21,Yes,0,San Jose,95124,37.257063,-121.923037,3,62,Offer B,Yes,42.68,Yes,Yes,Fiber Optic,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,113.95,6891.4,0,0,2646.16,9537.56,Stayed,NULL,NULL,153.8316129,13786.05231
1343-EHPYB,Male,61,Yes,0,San Diego,92122,32.85723,-117.209774,2,63,None,Yes,48.95,Yes,Yes,Fiber Optic,13,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.4,6603,0,0,3083.85,9686.85,Churned,Competitor,Competitor made better offer,153.7595238,13939.81183
